Topic,Count,Name,Representation,Representative_Docs
23,801,23_pumpkin_pumpkin pie_pie_bake,"['pumpkin', 'pumpkin pie', 'pie', 'bake', 'sugar', 'beat', 'mix', '350', 'oven', 'cool']","['Pumpkin Pie Spice Bread. Heat oven to 350. Mix together pumpkin, sugar, water, applesauce and eggs. In a separate bowl, mix together flour, baking soda, baking powder, salt and pumpkin spice. Slowly add the dry ingredients to the pumpkin mixture, beating until smooth. Split the batter between two 5x9 greased bread pans. Bake for 60-70 minutes or until a toothpick inserted in center comes out clean. Cool for 10-15 minutes, then remove from pans by inverting onto a rack and tapping the bottoms.', 'Pumpkin Banana Bread with Spiced Cream Cheese Glaze. Heat oven to 350 degrees. Spray a 9x5 loaf pan with nonstick cooking spray. In a large bowl whisk together flour, baking powder, baking soda, salt, and pumpkin pie spice. In another large bowl combine eggs, mashed banana, pumpkin, sugar, and butter. Add egg mixture to flour mixture. Stir just until combined, batter will be lumpy. Pour batter into loaf pan. Bake for 55 to 60 minutes or until deep golden brown, or until bread passes the toothpick test. Let cool. For cream cheese topping, combine cream cheese, powdered sugar and pumpkin pie spice in a medium bowl. Mix well and spread over warm pumpkin banana bread. Let cool completely before slicing. Garnish with additional pumpkin pie spice if desired.', 'Classic Pumpkin Pie for Expats. This Recipe is involved and could take a good portion of the morning or evening to do well. Plan to dedicate several hours to the joys of making pumpkin pie. It will be worth it! STEP 1--- MAKING NO-ROLL PIE CRUST: As you will most likely not find frozen pie crust in the stores in China, we must begin by making the no roll pie crust. > Put 1 1/2 cups all purpose flour, salt and sugar(optional)in a mixing bowl. > Mix the 2 TBSP Cold Milk with the 1/2 cup Sunflower oil, until the milk has dirtied the oil and there are thousands of milk beads floating in the oil. > Add Milky Oil to the bowl and using your hands, mix together until all the flour is dampened by the milky oil mixture. Form it into a ball, and place in the center of your 9"" pie pan. Spread the dough over the pie plate, patting down the dough to cover the bowl. DO NOT let the crust go over (or even too close to) the edge of the pan. > Although if we were not making pumpkin pie, and were just using this as a shell, the next step would be using a fork to poke holes liberally to avoid having the dough bubble under the filling as it bakes. But with pumpkin pie, that only makes the crust weak, so don\'t do that. > Pat the fork on the crust portion lightly. It will give texture to the crust, but don\'t make the grooves too definite or they may burn unless covered with foil. Also, don\'t let any portion of the crust be too thin or it will burn. The crust should be even all the way around, and lightly patted with a fork. >Place this in the fridge to chill the pie crust, as long as you want. STEP 2--- MAKING PUMPKIN PUREE: As it is rare to find Pumpkin Puree on the shelves in China, we must begin the pumpkin filling by making our own home-made Pumpkin Puree. There are two ways to do this:. ~ METHOD 1 for PUMPKIN PUREE(Best) If you have an oven:. >Preheat oven to 175 Celsius (350F). Be careful with your oven settings. The little ovens in China tend to run hotter than those in America. > Wash your pumpkin. (vegetables here are usually dirty, no sense getting dirt on your clean cutting board. ). >Cut the pumpkin in half. Leave the skin of the pumpkin on the pumpkin. > Take a spoon (one with the best edge) and scrape out the stringy mess inside the pumpkin. (You can put the stringy mess directly in the garbage or put it into a bowl to later separate out the seeds for roasted pumpkin seeds. ). > Prepare Cookie Sheet by coating a flat cookie sheet with 1/4 cup sunflower oil or vegetable oil, using a tissue to spread the oil around the pan. (it\'s best to use a sheet with a lip around the side because this will be juicy and that avoids the juice spilling over later. > Sprinkle the 1/3 cup loose sugar over the oil. > Place both halves of pumpkin face down in the oil on the cooking sheet. Avoid doing this if possible but, if both do not fit, cut the halves it into the fewest pieces necessary to fit it all in the pan. > Place pumpkin in preheated oven and let bake for 30 or 40 minutes. Check to make sure it is not burning periodically. It will bubble at the edges and smell good and squashy. > When finished baking, leave the oven door open and let the pumpkin cool. The middle will probably sink in and it will look entirely unappetizing. Fear not. Looks do not matter here. > Once it has cooled to a warm easy to hand temp, turn each halve over, and scrape the pumpkin meat in a bowl, leaving the skin in the pan and finally throwing away the skin. > Water removal process: Now, we must cut down on the liquid in this pumpkin puree. This is a critical step- don\'t leave it out. get a good amount of paper towel ready. Place two bowls on the counter and paper towels in bottom of the bowls. transfer pumpkin between bowls, and replacing paper towels until the paper towels have soaked up a good majority of the water in the pumpkin meat. About 5 minutes later, and many paper towels later, you will arrive at the desired consistency. > Place this pumpkin goodness into a blender, and blend to cut up all the strings and make it uniform in texture in the pie. ~METHOD 2 FOR MAKING PUMPKIN PUREE(Also good but less flavorful) if you do NOT have an oven:. > Wash Pumpkin. > Cut Pumpkin in Half. > Taking a potato peeler, peel the skin from a the pumpkin the same way you would peel a potato. Keep doing it until the peel or outer part of the pumpkin is gone. > Cut the pumpkin into Chunks as you would for mashed potatoes. The chunks can be a few inches big, not too small, not too big. > Place chunks into pot of water on stove. Heat water to boiling, then reduce heat and cook for about 20 or 30 minutes. > Drain well, and begin water removal process. > Water removal process: Now, we must cut down on the liquid in this pumpkin puree. This is a critical step- don\'t leave it out. get a good amount of paper towels ready. Place two bowls on the counter and paper towels in bottom of the bowls. Don\'t worry if the cubes of pumpkin fall apart as you do this,. it will eventually all go into a blender. The goal is to remove as much moisture as possible. Transfer cooked pumpkin between bowls, replacing paper towels until the paper towels have soaked up a good majority of the water in the pumpkin meat. About 5 minutes later, and many paper towels later, you will arrive at the desired consistency. > Place this pumpkin goodness into a blender, and blend well to cut up all the strings and make it uniform in texture in the pie. STEP 3--- CREATING PUMPKIN FILLING: I used a blender and the pie came out better, so I\'m showing publishing these instructions, but I\'ve made the pie without the blender and it was great too! > Keeping pumpkin puree in blender add the rest of the filling ingredients, (adding eggs LAST so u can add spices to taste without the risk of salmonella poisoning.) I begin with the can of Nestle sweetened and condensed milk, so there is more of a thick liquid texture for blending. Next, 1 TBSP flour, 1 TSP Ground Cinnamon, 1/2 TSP Fine Salt, 1/2 TSP Ground Nutmeg, 1/4 TSP Ground Allspice. Add brown sugar to taste after all the spices as the sugar will thicken the filling, making it difficult to blend properly. I used 1 cup tightly packed, but the filling was very sweet. If you don\'t like pies too sweet, add brown sugar to taste. The brown sugar also adds color that looks good once baked. I once used white sugar, and the appearance wasn\'t as traditional. The taste that you have in your blender at this point (after the sugar) is the taste you will have in your pie, so keep playing with it until you find a good combination. Finally, once you are satisfied with the taste, add the eggs to the blender. LAST STEP--- ADDING FILLING TO CRUST AND BAKING PIE. > Take crust from fridge and pour the filling into the crust in a circular motion until the pan is filled. Do not over fill. Just a bit below the crust edge is perfect, even if it means wasting some of the filling. Though the filling shouldn\'t be very runny, it is still a very thick liquid, so avoid letting the filling slosh onto the crust as you place the unbaked pie into the oven. Put the rack on the lowest level to avoid burning the pie and heat the pie from the top and bottom burners. Leave it to cook for about 40 minutes, checking on it to make sure it is not burning. If crust begins to get too dark, foil the crust next time. As it heats, toward the end, the filling will puff up. Fear not. It will settle down again as it cools and transform into the worlds best pumpkin pie after refrigeration for a few hours.']"
24,798,24_zucchini_add zucchini_oil_bake,"['zucchini', 'add zucchini', 'oil', 'bake', 'minutes', 'bread', 'pans', 'mix', 'add', '350']","['Stuffed Zucchini. Wash zucchini; slice lengthwise and scrape pulp out. Chop zucchini meat; add onion and spaghetti sauce. Put back into zucchini and top with Mozzarella cheese. Cook until done, in covered skillet or in oven, about 15 minutes on medium heat.', 'Zucchini (Kirbi Szuspeibe). Take the meat of the zucchini, grate it, salt the grated zucchini and set aside.', 'Zucchini Bread. Beat eggs, oil, sugar, zucchini and vanilla together.']"
25,783,25_roast_beef_meat_stew,"['roast', 'beef', 'meat', 'stew', 'pot', 'hours', 'cook', 'pot roast', 'cover', 'add']","['Spiced Pot Roast. Combine flour, salt and pepper; rub over entire roast. In a Dutch oven, brown roast in oil on all sides. Combine remaining ingredients and pour over roast. Cover and bake at 325° for 3 hours or until meat is tender. Thicken gravy if desired.', 'Pot Roast. On waxed paper, combine flour, 1/2 of salt and pepper. Coat roast with mixture. In Dutch oven, in oil, brown roast evenly on all sides. Remove roast from oven. Place in oven-safe pot. Using Dutch oven, cook onions until tender. Place onions on top of roast. Add remaining salt and 1 1/4 cups water. Cover. Bake at 325° for 3 hours. Add potatoes and carrots. Bake 30 to 45 minutes more, until meat and vegetables are tender. Mix 1/4 cup water with flour mixture on top of stove. Thicken broth with mixture. Pour over meat and vegetables.', 'Beef Pot Roast. Season roast with salt and pepper. Heat oil in a skillet over high heat. Add the roast and sear on each side until brown, about 4 minutes per side. Place half of vegetables in bottom of slow cooker crock, top with roast, then add remaining vegetables and liquid. Add water so that level is roughly half way up on roast. Cover and cook 5 hours on high.']"
26,769,26_cranberry_cranberries_cranberry sauce_orange,"['cranberry', 'cranberries', 'cranberry sauce', 'orange', 'sugar', 'mixture', 'bowl', 'cool', 'stir', 'minutes']","['Cranberry-Grape Salad. Grind the cranberries and add the sugar. Refrigerate overnight. Mix the jello, boiling water, grapes and pecans. Combine with cranberry mixture and chill. Fold in the whipped cream (sweetened). Chill.', 'Christmas Cranberry Salad. Mix apples and cranberries and cover with sugar. Mix Jell-O and hot water. Then add pineapple, pecans and the apple/cranberry mixture. Chill.', 'Cranberry Salad. Grind cranberries. Mix Jell-O and hot water. Add sugar; mix well. Stir in cranberries and all other ingredients. Pour into bowl and refrigerate.']"
27,743,27_peanut_peanut butter_chocolate_butter,"['peanut', 'peanut butter', 'chocolate', 'butter', 'melt', 'balls', 'cereal', 'chips', 'paper', 'candy']","['Peanut Butter Balls. Mix butter, peanut butter, powdered sugar and vanilla together. Roll into balls and refrigerate until firm. Melt chocolate in double boiler and dip balls in chocolate with a toothpick. Put on wax paper until cool.', 'Peanut Butter Bonbons. Melt butter and peanut butter in double boiler. Pour over graham cracker crumbs, powdered sugar and coconut. Mix well. Roll into small balls. Melt chocolate chips and wax, then dip balls and place on waxed paper.', 'Peanut Butter Balls. Mix first 4 ingredients together. Roll into balls. Place on cookie sheet in freezer to get cold. Melt chocolate chips and wax together in top of double boiler. Use toothpicks to dip peanut butter balls. Dry on wax paper.']"
28,724,28_salmon_fish_smoked salmon_fillets,"['salmon', 'fish', 'smoked salmon', 'fillets', 'place', 'skin', 'lemon', 'pepper', 'grill', 'smoked']","['Greek Salad With Blackened Salmon. To Make The Greek Salad: Chop lettuce. Using a large bowl, add each of the above ingredients in reverse order topping with olives last. Toss and serve with vinaigrette to taste. Refrigerate. To Make The Blackened Salmon: Rinse salmon with water and place in a medium sized bowl. Pour orange juice and 1/2 freshly squeezed lime juice over salmon. Cover and allow salmon to sit in refrigerator for 10 minutes. In another bowl, mix spices for the blackening rub by combining all dry ingredients and freshly chopped garlic.Remove salmon from bowl and excess liquids. Apply blackening rub to both sides of salmon fillets. Preheat oven to 350°F. Heat a cast iron skillet on medium-high heat until very hot ; coat with olive oil. Flash fry salmon for about five minutes until browned on both sides. Remove skillet from heat, add unsalted butter and sprinkle salmon with brown sugar and 1 tablespoon vinaigrette. Put skillet with salmon in the preheated oven and bake uncovered for 10 minutes.Remove and cool. For added zesty flavor, squeeze remaining lime juice over salmon, if desired. Serve salmon with salad.', ""Salmon Rillettes. Preheat the oven to 375F. Line a glass baking dish with aluminum foil. Lay the salmon in the baking dish, skin side down. Coat with olive oil. Liberally season salmon fillet with kosher salt. Pour chardonnay and water over the fish. Cover pan with aluminum foil and bake for 20 minutes. To see if the salmon is fully cooked, cut into the fillet. If the flesh flakes and the color is opaque, then its done. Transfer the salmon fillet (without the poaching liquid) to a platter. Cover and place in the refrigerator until its completely cooled. When the salmon has cooled, in a separate bowl, whisk together creme fraiche, lemon juice and chopped chives. Add the poached salmon to the bowl and smash to combine. Do not overdo it, though, as you don't want the salmon to turn pasty. Mix in the smoked salmon and, if necessary, season with salt and white pepper. Serve with toasted baguette slices."", 'Furikake Salmon. Season salmon with garlic salt and black pepper. Combine mayonnaise and honey in a small bowl and spread on top side of salmon steaks. Place furikake in a shallow bowl. Dip top side of each salmon steak in furikake; press down lightly for coating to stick. Heat oil in a large skillet over medium heat. Place salmon coated-side down and cook until golden brown, about 5 minutes. Turn over and continue cooking until salmon flakes easily with a fork, about 5 minutes more.']"
29,721,29_squash_butternut_butternut squash_minutes,"['squash', 'butternut', 'butternut squash', 'minutes', 'tender', 'soup', 'heat', 'add', 'salt', 'cook']","[""Weight Watcher'S Butternut Squash, Sage And Mushroom Casserole. Preheat oven to 400°F Cut 1 squash in half lengthwise. Peel other squash and cut into 1/2-inch cubes. Coat a nonstick cookie sheet with cooking spray. Remove seeds from squash that was cut lengthwise and place cut side down on cookie sheet. Roast until very soft, about 35 to 40 minutes. Remove from oven and let cool. Meanwhile, heat oil in a large nonstick skillet over medium-high heat. Add 2 chopped garlic cloves. Swirl skillet to mix and cook until fragrant, about 10 seconds. Add mushrooms and 1/4 teaspoon salt. Increase temperature to high and cook, stirring often, 6 minutes. Remove from heat and stir in cubed butternut squash; let cool. Put evaporated milk, shallots, remaining 2 garlic cloves and sage in a medium saucepan. Bring to a boil, cover and remove from heat. Scrape flesh of roasted squash halves into a large bowl. Mash with a potato masher; add milk mixture and mash to mix. Season to taste with salt and pepper. Coat a 9 X 9-inch pan with cooking spray. Spoon half of mashed squash into bottom of pan and spread into an even layer. Top with 3 uncooked noodles (you will need to break them to make them fit) and spoon over 1 cup of mushroom-squash mixture. Top with 1/2 cup of mashed squash and repeat layers two more times ending with 1/2 cup of mashed squash. Cover pan with foil and bake 20 minutes. Remove foil and bake 10 minutes more. Remove from oven and let stand 10 minutes before slicing into 6 pieces."", 'Baked Acorn Squash. Cut squash in half, and remove seeds. Combineremaining ingredients, and spoon into squash halves, place squash halves in slow cooker. Cover, and cook on low for 5-6 hours, or until squash is tender.', 'Roasted Winter Squash. Preheat oven to 400°. Cut butternut squash, spaghetti squash, and acorn squash in half lengthwise, and remove seeds. Place squash, cut sides up, on an aluminum foil-lined baking sheet. Microwave butter and honey at HIGH 1 minute or until melted; stir until blended. Brush cut sides of squash with butter mixture. Sprinkle with salt and pepper. Bake, uncovered, 1 hour or until tender; let stand 10 minutes. Cut into large pieces and serve. Roasted Acorn Squash: Omit butternut and spaghetti squash. Cut acorn squash in half; remove and discard seeds. Cut squash into 1/2-inch slices. Proceed with recipe as directed, decreasing bake time to 45 minutes or until tender. Garnish with sage sprigs, if desired. Makes 4 servings. Prep: 10 min., Bake: 45 min.']"
30,672,30_meatballs_balls_sauce_meatball,"['meatballs', 'balls', 'sauce', 'meatball', 'meat balls', 'meat', 'shape', 'mix', 'heat', 'form']","['Meatballs. Mix all ingredients together and form meatballs. Brown meatballs evenly on medium heat for about 5 minutes. Add Marinara sauce and simmer for 30 minutes. Serve over pasta or rice.', 'Sate Meatballs. Preheat oven to 350F. Mix together all ingredients for meatballs. Shape into approximately 32 meatballs. Place meatballs on a baking pan, and bake for 15-20 minutes or until cooked through. While meatballs are cooking, cook onion in oil in a large skillet until tender. Stir in coconut milk and peanut butter, mixing until smooth. Add remaining ingredients and mix well. Reduce heat and simmer until sauce thickens. Add meatballs to sauce and gently stir to coat meatballs. Cook 2-3 minutes more or until dish is heated through.', 'Asian-Style Meatballs. In a medium bowl combine egg, the 1/4 cup of the carrot, the bread crumbs, ginger, salt and garlic powder. Add meat and mix well. Shape meat mixture into 8 meatballs. In a large skillet cook meatballs over medium heat until brown, turning to brown evenly (meatballs will not be done). Remove meatballs from skillet. Wipe out skillet with paper towels. Add grill sauce and water to skillet, stir to combine. Add onion, drained water chestnuts, sweet red pepper, and the 1/2 cup carrot to skillet; bring to boiling. Return meatballs to skillet. Reduce heat. Cover and simmer for 12-15 minutes or until meatballs are done. Serve meatballs and sauce with hot cooked rice.']"
31,653,31_brownies_brownie_chocolate_pan,"['brownies', 'brownie', 'chocolate', 'pan', 'vanilla', 'butter', 'batter', 'cool', 'eggs', 'bake']","['Chocolate Caramel Brownies. Preheat oven to 350F. Lighlty grease an 8-inch square pan. In small saucepan, melt 1/4 cup butter or margarine and chocolate over low heat. Set aside. In medium bowl, beat eggs until light. Beat in sugar, flour, salt and vanilla until blended. Stir in melted chocolate mixture; pour batter into prepared pan. Bake for 15 minutes. Meanwhile, prepare Caramel Sauce. In small saucepan, mix butter or margarine and brown sugar. Bring to boil, stirring constantly. Stir and simmer 1 minute. Remove brownies from oven and sprinkle evenly with pecans. Gently pour caramel sauce over brownies. Return pan to oven and bake 15 minutes longer, until caramel is bubbling. Remove brownies from oven and sprinkle with chocolate chips. As chocolate chips begin to melt, gently swirl with a knife. Cool completely before cutting. Chill to harden chocolate, if necessary.', ""Mint Chocolate Brownies. Preheat the oven to 350°F. Line an 8x8 baking dish with parchment paper. In a small pan, over low heat, stir the butter and chocolate until smooth. Remove from heat and set aside to cool a bit. Beat the eggs and sugar in a large bowl until fluffy, about 5 minutes. Mix in the chocolate mixture a little at a time, stirring constantly and then add the flour, vanilla and salt. Stir until blended. Pour the batter into the prepared pan. Bake about 25 minutes, until a toothpick inserted into the center comes out clean. Cool for 15 minutes. While the brownies are cooling, make the mint layer. Beat the powdered sugar, butter and extracts in a bowl until creamy. Spread over the brownie layer, sprinkle with the Andes' candy pieces and refrigerate for one hour. Cover with foil. The brownies can be stored covered tightly at room temperature but I liked them chilled in the refrigerator. Cassie's Notes: A drizzle of chocolate ganache would be divine on these brownies."", 'Peppermint Bark Brownies. To make the brownies:\r\nPreheat the oven to 350 degrees. Line a 9""x13"" baking pan with a large piece of foil with 2"" overhang on all sides of the pan. Grease lightly with baking spray or oil.\r\nPlace a large bowl over a saucepan over medium-low heat with a small amount of simmering water in it. Put the chocolate and butter into the bowl and stir regularly until melted. Remove from heat and set aside briefly. In a separate small bowl, stir together the sweetened condensed milk and eggs. Whisking briskly, add the sweetened condensed milk mixture to the chocolate and butter mixture until well combined. Add the vanilla and sugar, stirring to combine. In a small bowl, combine the flour, cocoa powder, salt, and baking powder. Add the dry ingredients to the chocolate mixture and fold to combine. Stir in the mini chocolate chips.\r\nSpread the mixture into the prepared pan and bake in the preheated oven for about 25-30 minutes or until the edges are well set and a toothpick inserted comes out only with a few moist clumps. Be careful not to overbake. Allow the brownies to cool completely. To prepare the topping:\r\nMelt the semisweet chocolate in a double boiler, similarly to the chocolate for the brownies. Spread the chocolate in an even, thin layer on the brownies. Place the pan in the fridge to set up while you repeat this process with the white chocolate. Melt it gently over very low heat (white chocolate will seize if it gets too hot!) and then spread evenly over top of the cooled, set semisweet chocolate. Sprinkle the top of the brownies with the peppermint pieces and allow to set completely in the fridge prior to slicing. Enjoy!']"
32,626,32_sweet_sweet potato_sweet potatoes_potatoes,"['sweet', 'sweet potato', 'sweet potatoes', 'potatoes', 'potato', 'bake', 'oven', 'casserole', 'dish', 'minutes']","['Diced Sweet Potatoes With Onions And Garlic. Preheat oven to 350 degrees F (175 degrees C). Coat the inside of a glass or non-stick baking dish with olive oil. Place sweet potatoes into the prepared baking dish and turn to evenly coat with the olive oil in the baking dish. Season sweet potatoes with salt and pepper. Add onion and garlic to sweet potato mixture. Bake in the preheated oven until sweet potatoes are tender, about 1 hour.', 'Sweet Potato-Chèvre Napoleons. Scrub sweet potatoes, pierce each in several places with a fork, and set in an 8- or 9-inch-wide pan. In another pan, mix shallots with oil and vinegar. Bake shallots in a 375° oven, shaking pan occasionally, until deep golden brown, about 45 minutes; bake sweet potatoes until they give very easily when squeezed, about 1 hour. Protecting your hands with a potholder, slit hot sweet potatoes open and scoop flesh into a bowl; discard skins. With a potato masher or a mixer, mash sweet potatoes, 1/2 cup milk, cheese, butter, and thyme until smooth; for a softer texture, beat in more milk. Season to taste with salt and pepper. Lay a large, hot galette piece on each of four warmed dinner plates. Mound half the hot sweet-potato mixture equally in center of galettes. Lay another galette flat on each sweet-potato mound. Top equally with remaining sweet-potato mixture. Stick remaining galette pieces and any fragments vertically into the sweet-potato mixture; spoon shallots around napoleons.', 'Sweet Potato Casserole with Pecan Crunch. Prepare the sweet potatoes: Peel and quarter the sweet potatoes. Place them in a saucepan, add cold water to cover and a pinch of salt. Bring to a boil over medium-high heat, then reduce the heat, cover the pan, and let simmer until the potatoes are tender, 20 to 25 minutes. Drain the potatoes, then mash them with a potato masher. Place a rack in the center of the oven and preheat the oven to 350F. Lightly mist a 13 by 9-inch glass or ceramic baking dish with vegetable oil spray and set the dish aside. Place the mashed sweet potatoes, granulated sugar, 8 tablespoons of melted butter, milk, eggs, vanilla, and either orange zest or cinnamon, if desired, in a large mixing bowl. Beat with an electric mixer on medium-low speed until just combined, about 2 minutes. Spoon the sweet potato mixture into the prepared baking dish and smooth the top with a spoon or spatula. Make the pecan crunch topping: Place the pecans, brown sugar, flour, and 3 tablespoons of melted butter in a small bowl and stir with a fork to combine. Scatter the pecan mixture evenly over the top of the sweet potatoes. Bake the sweet potatoes until the pecan topping begins to brown and the potatoes are bubbly, 25 to 30 minutes.']"
33,594,33_tuna_salad_casserole_pepper,"['tuna', 'salad', 'casserole', 'pepper', 'pasta', 'add', 'oil', 'mix', 'fish', 'cheese']","['Easy Seared Tuna. Sear the tuna filet in a frying pan, 1 minute on the first side, 30 seconds on the other over medium heat. Slice the tuna into 7 mm, then top the slices on a bed of lettuce. Put the butter and garlic in the pan that you cooked the tuna and saute until fragrant. Finally, drizzle in the soy sauce. Lightly simmer, then pour all over the tuna to finish! ! Garnish with sprouts and cherry tomatoes (optional).', 'Seared Tuna With Green Salad. Thawing red tuna only surface. Crush black pepper whole. Spread black pepper at surface of tuna. Pan fry very high heat pan with tuna. Make lemon dressing by squeezed lemon and olive oil. Make with chicory, lettuce and rosekale, good figure vegetable bouqe. Reduce balsamic half quantity. Arrange tuna on the plate and vegetable bouqe. Finally, you can dress lemon dressing with tuna, and balsamic reduction.', 'Tantalizing Tuna Nuggets. drain tuna and place iun a mixing bowl. flake the tuna with a fork. whip together cream cheese,lemon juice,horseradish,parsley & garlic powder until smooth & fluffy. add tuna & mix well. shape into small balls. refrigerate for 30 minuites and serve.']"
34,592,34_blueberry_blueberries_muffins_sugar,"['blueberry', 'blueberries', 'muffins', 'sugar', 'muffin', 'batter', 'flour', 'baking', 'pie', 'bowl']","['Blueberry Buckle. Blend together until they are crumbs.', ""Blueberry Muffins Mix. Combine all ingredients in a large airtight container. Store at room temperature until ready to use. Stir well before measuring for the muffin recipe. Yield:about 6 cups. Attach Recipe: Blueberry Muffins, 3 Cups Muffin Mix, 2 Tbsp Brown Sugar, 1 teas cinnamon, 1 1/4 Cups Fresh or Frozen Blueberries, 1 Cup Milk, 2 Eggs, 1/4 Cup Applesauce, 1 teas Vanilla Extract In a mixing bowl, combine first three ingredients. Stir in blueberries. In another bowl, beat milk, eggs, applesauce and vanilla. Stir into blueberry mixture just until moistened. Fill greased or paper-lined muffin cups two-thirds full. Bake at 425'F for 15-18 minutes or until muffins test done. Cool in pan 10 minutes before removing to a wire rack. (Can substitute other kinds of berries for blueberries and/or add nuts.) Yield: about 1 dozen."", ""Best Ever Blueberry Muffins. Preheat oven to 375 F. Prepare a 12-cup muffin pan by lining it with foil liners (not paper liners-they'll stick terribly). Set pan aside. For the topping: Combine the sugar and nutmeg in a small bowl; set aside until needed. For the muffins: In a medium bowl, whisk together the flour, baking powder and salt; set aside. Using a fork, mash 1/2 cup of the blueberries in a small bowl; set aside. Using a hand mixer, cream butter and 1 cup sugar together in a medium bowl until creamy and light in color; add eggs, vanilla, and the 1/2 cup of mashed blueberries. Add 1/2 of the flour mixture; mix just until the dry ingredients are incorporated. Add 1/2 of the milk and mix just until combined. Repeat with the remaining flour mixture, followed by the remaining milk. Fold in the remaining 2 cups of whole blueberries. Portion batter evenly into muffin cups and sprinkle with the sugar/nutmeg topping. Bake for 25-30 minutes. My Notes: I've never made this recipe using canned blueberries, but I've made it many times using frozen blueberries. This recipe works equally well with as little 1 1/2 cups of blueberries. For the topping, I sometimes substitute cinnamon for the nutmeg. I also like to sprinkle vanilla sugar on top of the muffins. The batter makes nice mini bread loaves too. Freezer directions: Mary says you can freeze the muffins for up to two months before baking them. If you are doing this, portion the batter into the foil-lined muffin pan and place pan in the freezer until the batter is firm, then pop the frozen muffins out of the pan and store in a freezer-safe container. When you want freshly baked muffins, simply pop the frozen batter-filled foil cups back into a muffin pan and bake as directed; adding 5-6 minutes to the total baking time. Recipe adapted from Best Ever Blueberry Muffins by Mary Hunt (creator of Everyday Cheapskate).""]"
35,582,35_muffins_muffin_bran_muffin cups,"['muffins', 'muffin', 'bran', 'muffin cups', 'muffins preheat', 'batter', 'dry ingredients', 'cups', 'tins', 'dry']","['Pumpkin Spice Donut Muffins. Preheat oven to 350 degrees F. Get out your muffin tins - this recipe makes 18 standard sized muffins. 1. In large bowl or mixing cup combine dry ingredients (except the sugar). 2. In a separate bowl mix Crisco, sugar and eggs. 3. Add pumpkin to the sugar mixture. 4. Alternate adding dry ingredients and buttermilk into the pumpkin/sugar mixture. Mix well. Scrape down sides of the bowl often. Mix for 3 minutes. 5. Grease muffin tins with non-stick cooking spray. Fill tins 2/3 full with muffin batter. Bake for 20-25 minutes. 6. While the muffins are baking, Melt the 2 sticks of butter in a container. While that is melting, mix the 1 1/2 cup of sugar with the 3 teaspoons of cinnamon in a separate container. Place a clean cookie sheet beside these two containers. 8. As soon as you remove muffins from oven tip out onto the cookie sheet adjacent to the butter and sugar containers. Let muffins cool just long enough to be able to handle them, around 30 seconds. Dip warm muffins in butter, coat completely. Directly from butter dredge muffins in cinnamon sugar. Make sure muffins are completely covered with sugar mixture. NOTE: If you do not have buttermilk on hand you can add 1 tablespoon of vinegar to just under 1 cup of milk to make 1 cup of buttermilk.', 'Banana Bran Muffins. Preheat oven to 375 degrees F (190 degrees C). Grease a muffin pan or line with paper muffin liners. In a large mixing bowl, cream butter and brown sugar together until fluffy. Add bananas, milk, vanilla and eggs; mix well. Stir in flour, bran, baking powder, soda and salt; blend just until moistened. Stir in walnuts. Pour batter into prepared muffin cups. Bake at 375 degrees F (190 degrees C) for 20 to 25 minutes or until a toothpick inserted into the center of a muffin comes out clean. Cool in the cups for 5 minutes, then remove muffins and place on a wire rack to cool completely.', ""Starbuck'S Bran Muffins. 1. Preheat oven to 400°F Line 24 muffin cups with muffin papers. 2. Stir flour, baking soda and salt in small bowl to blend. 3. Combine bran and dried fruit in another bowl; mix in 1 cup boiling water. 4. Beat butter in large bowl until creamy. Gradually beat in sugar, then honey. Beat in eggs 1 at a time. 5. Beat in buttermilk alternately with flour mixture in 3 additions each. Mix in bran mixture and walnuts. 6. Divide batter among lined muffin cups. 7. Bake muffins until tester inserted into center comes out clean, about 20 minutes. Turn muffins out onto racks and cool completely.""]"
